x_L y_L        x_R y_R       H_x_L H_y_L      H_x_R H_y_R    R 
906 766        2027 759      934 828         1990 816    72.0
938 759        2645 759      934 828         2634 828    72.0
991 792        2690 787      934 828         2634 828    72.0
983 775        2621 756      934 828         2634 828    72.0
907 648        2627 682      938 718         2568 728    76.0
922 647        2627 682      938 718         2568 728    76.0
1005 407        2757 398      954 370         2694 364    66.0
885 351        2540 336      954 370         2562 398    66.0
934 432        2674 433      954 370         2694 364    66.0
932 432        2674 433      954 370         2694 364    66.0
916 422        1910 407      954 370         1960 364    66.0
937 429        1943 425      954 370         1960 364    66.0
989 424        1909 407      954 370         1960 364    66.0
1006 1083        2658 1080      962 1052         2712 1082    51.0
1009 1082        2658 1080      962 1052         2712 1082    51.0
996 1090        2097 1098      962 1052         2062 1054    51.0
992 645        2547 614      966 662         2518 668    28.0
934 280        2775 318      982 244         2768 252    65.0
939 882        2629 883      990 926         2680 938    70.0
999 1070        2589 1018      992 996         2648 1006    75.0
1013 1064        2674 1062      992 996         2648 1006    75.0
964 921        2556 900      992 996         2538 970    75.0
920 985        2593 1032      992 996         2648 1006    75.0
952 915        2572 915      992 852         2594 874    75.0
1069 1007        2699 1011      992 996         2746 992    75.0
1003 1069        2649 1069      992 996         2648 1006    75.0
1007 1067        2653 1066      992 996         2648 1006    75.0
1059 1040        2693 1045      992 996         2648 1006    75.0
928 1034        2611 1003      992 996         2538 970    75.0
933 806        2643 819      992 852         2686 878    75.0
964 925        2645 953      992 996         2648 1006    75.0
1057 1043        2696 1042      992 996         2648 1006    75.0
1055 1043        2693 1045      992 996         2648 1006    75.0
1005 1070        2653 1069      992 996         2648 1006    75.0
954 915        2572 915      992 852         2594 874    75.0
950 694        1989 676      998 734         1934 716    66.0
943 703        2731 686      998 734         2718 754    66.0
1046 687        2641 717      998 734         2568 728    66.0
952 694        1990 676      998 734         1934 716    66.0
